Kind,Name,SumEssential,SumCyclomaticStrict,SumCyclomaticModified,SumCyclomatic,RatioCommentToCode,PercentLackOfCohesionModified,PercentLackOfCohesion,MinEssentialKnots,MaxNesting,MaxInheritanceTree,MaxEssentialKnots,MaxEssential,MaxCyclomaticStrict,MaxCyclomaticModified,MaxCyclomatic,Knots,Essential,CyclomaticStrict,CyclomaticModified,Cyclomatic,CountStmtExe_Php,CountStmtExe_Javascript,CountStmtExe,CountStmtDecl_Php,CountStmtDecl_Javascript,CountStmtDecl,CountStmt,CountSemicolon,CountPathLog,CountPath,CountOutput,CountLineComment_Php,CountLineComment_Javascript,CountLineComment_Html,CountLineComment,CountLineCodeExe,CountLineCodeDecl,CountLineCode_Php,CountLineCode_Javascript,CountLineCode,CountLineBlank_Php,CountLineBlank_Javascript,CountDeclMethodPublic,CountInput,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountDeclMethodProtected,CountDeclMethodPrivate,CountDeclMethodDefault,CountDeclMethodAll,CountDeclMethod,CountDeclInstanceVariablePublic,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePrivate,CountDeclInstanceVariable,CountDeclInstanceMethod,CountDeclFunction,CountDeclFile,CountDeclExecutableUnit,CountDeclClassVariable,CountDeclClassMethod,CountDeclClass,CountClassDerived,CountClassCoupledModified,CountClassCoupled,CountClassBase,AvgLineComment,AvgLineCode,AvgLineBlank,AvgLine,AvgEssential,AvgCyclomaticStrict,AvgCyclomaticModified,AvgCyclomatic
File,"AbstractConnector.java",11,11,11,11,0.98,,,,0,,,1,1,1,1,,,,,,,,10,,,26,36,24,,,,,,,47,12,26,,,48,,,10,,113,,,,18,,1,0,0,,11,,,,2,11,11,,11,1,0,1,,,,,2,2,0,5,1,1,1,1
File,"AbstractFigure.java",31,39,38,38,1.34,,,,1,,,1,4,4,4,,,,,,,,50,,,53,103,65,,,,,,,189,63,53,,,141,,,33,,375,,,,45,,2,0,0,,35,,,,2,35,35,,31,1,0,1,,,,,4,4,0,8,1,1,1,1
File,"AbstractHandle.java",11,11,11,11,1.56,,,,0,,,1,1,1,1,,,,,,,,11,,,26,37,25,,,,,,,78,18,26,,,50,,,12,,149,,,,21,,0,0,0,,12,,,,1,12,12,,11,1,0,1,,,,,5,3,0,8,1,1,1,1
File,"AbstractLocator.java",4,5,5,5,0.77,,,,1,,,1,2,2,2,,,,,,,,3,,,11,14,8,,,,,,,17,4,12,,,22,,,3,,50,,,,11,,1,0,0,,4,,,,0,4,4,,4,0,0,1,,,,,1,3,0,4,1,1,1,1
File,"AbstractTool.java",11,11,11,11,1.21,,,,0,,,1,1,1,1,,,,,,,,8,,,22,30,18,,,,,,,51,8,22,,,42,,,11,,111,,,,18,,0,0,0,,11,,,,3,11,11,,11,0,0,1,,,,,3,2,0,6,1,1,1,1
File,"ActionTool.java",3,4,4,4,0.75,,,,1,,,1,2,2,2,,,,,,,,5,,,10,15,10,,,,,,,15,6,10,,,20,,,4,,43,,,,8,,0,0,0,,4,,,,0,4,4,,3,0,0,1,,,,,1,4,0,5,1,1,1,1
File,"AlignCommand.java",3,10,5,10,0.57,,,,2,,,1,8,3,8,,,,,,,,19,,,23,42,36,,,,,,,31,36,23,,,54,,,3,,98,,,,13,,0,0,0,,3,,,,2,3,3,,3,6,0,1,,,,,2,12,0,15,1,3,1,3
File,"AllNames.html",0,0,0,0,0.00,,,,0,,,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,2,2,,,0,0,0,0,0,,,3682,3682,0,0,68,68,,,,,,,,,,,0,,0,,,0,,,,,2,0,68,3682,0,0,0,0
File,"Animatable.java",0,0,0,0,3.50,,,,0,,,0,0,0,0,,,,,,,,0,,,3,3,2,,,,,,,14,0,3,,,4,,,0,,21,,,,3,,0,0,1,,1,,,,0,1,1,,0,0,0,1,,,,,0,0,0,0,0,0,0,0
File,"AnimationDecorator.java",10,18,14,14,0.15,,,,1,,,1,9,5,5,,,,,,,,25,,,26,51,36,,,,,,,9,30,26,,,61,,,10,,95,,,,25,,0,0,0,,10,,,,3,10,10,,10,1,0,1,,,,,0,4,0,5,1,1,1,1
File,"Animator.java",6,6,6,6,0.14,,,,2,,,3,3,3,3,,,,,,,,15,,,13,28,21,,,,,,,5,18,13,,,36,,,4,,53,,,,12,,0,0,0,,4,,,,3,4,4,,4,1,0,1,,,,,0,6,0,7,1,1,1,1
File,"ArrowTip.java",8,8,8,8,0.67,,,,0,,,1,1,1,1,,,,,,,,15,,,23,38,29,,,,,,,33,22,23,,,49,,,6,,93,,,,16,,0,2,0,,8,,,,4,8,8,,8,1,0,1,,,,,2,4,0,6,1,1,1,1
File,"AttributeFigure.java",14,20,20,20,0.87,,,,2,,,3,3,3,3,,,,,,,,36,,,29,65,44,,,,,,,72,43,29,,,83,,,8,,175,,,,20,,3,1,0,,12,,,,2,10,12,,12,2,2,1,,,,,3,5,0,9,1,1,1,1
File,"BorderDecorator.java",7,7,7,7,0.42,,,,0,,,1,1,1,1,,,,,,,,18,,,23,41,33,,,,,,,20,24,23,,,48,,,6,,79,,,,11,,0,1,0,,7,,,,1,7,7,,7,1,0,1,,,,,1,5,0,6,1,1,1,1
File,"BorderTool.java",2,2,2,2,1.00,,,,0,,,1,1,1,1,,,,,,,,2,,,7,9,6,,,,,,,12,2,7,,,12,,,2,,29,,,,5,,0,0,0,,2,,,,0,2,2,,2,0,0,1,,,,,1,3,0,4,1,1,1,1
File,"BouncingDrawing.java",4,8,8,8,0.23,,,,1,,,1,2,2,2,,,,,,,,11,,,14,25,16,,,,,,,7,15,14,,,30,,,4,,46,,,,9,,0,0,0,,4,,,,1,4,4,,4,1,0,1,,,,,0,5,0,5,1,2,2,2
File,"BoxHandleKit.java",10,10,10,10,0.42,,,,0,,,1,1,1,1,,,,,,,,17,,,15,32,21,,,,,,,18,17,15,,,43,,,10,,77,,,,16,,0,0,0,,10,,,,0,0,10,,10,0,10,1,,,,,0,3,0,4,1,1,1,1
File,"BringToFrontCommand.java",3,4,4,4,0.68,,,,1,,,1,2,2,2,,,,,,,,6,,,10,16,11,,,,,,,15,7,11,,,22,,,3,,46,,,,9,,0,0,0,,3,,,,1,3,3,,3,0,0,1,,,,,1,4,0,6,1,1,1,1
File,"BufferedUpdateStrategy.java",1,4,2,2,0.81,,,,1,,,1,4,2,2,,,,,,,,6,,,15,21,18,,,,,,,21,13,16,,,26,,,1,,57,,,,10,,0,0,0,,1,,,,4,1,1,,1,1,0,1,,,,,5,12,2,19,1,4,2,2
Package,"CH",0,0,0,0,0.00,,,,0,,,0,0,0,0,,,,,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,0,,0,,,,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,,,,,0,0,0,0,0,0,0,0
Package,"CH.ifa",0,0,0,0,0.00,,,,0,,,0,0,0,0,,,,,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,0,,0,,,,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,,,,,0,0,0,0,0,0,0,0
Package,"CH.ifa.draw",0,0,0,0,0.00,,,,0,,,0,0,0,0,,,,,,,,0,,,0,0,0,,,,,,,0,0,0,,,0,,,0,,0,,,,0,,0,0,0,,0,,,,0,0,,0,,0,0,0,,,,,0,0,0,0,0,0,0,0
Package,"CH.ifa.draw.applet",41,68,68,68,0.31,,,,2,,,3,4,4,4,,,,,,,,166,,,143,309,242,,,,,,,127,246,148,,,414,,,12,,626,,,,85,,16,10,1,,39,,,,14,39,,2,,3,0,5,,,,,2,9,0,12,1,1,1,1
