Subject,Object,Predicate
0,65,7
0,33,7
0,61,7
0,27,7
0,19,7
0,37,7
0,31,7
0,55,7
0,70,7
0,48,7
0,4,7
0,45,7
0,39,7
0,23,7
0,52,11
0,52,2
0,35,7
1,4,7
1,4,5
1,39,7
1,23,2
1,49,7
1,10,7
1,23,11
2,50,11
2,50,7
2,42,7
2,42,5
2,50,2
3,31,2
3,42,7
3,31,11
4,54,7
4,23,7
4,51,7
4,39,7
5,50,11
5,50,2
6,10,7
6,23,2
6,23,7
6,4,7
8,23,2
8,10,7
8,4,7
9,10,7
9,23,2
9,23,11
11,23,2
11,10,7
11,7,7
12,23,2
14,27,7
14,33,7
14,35,2
14,35,11
15,10,7
15,10,2
16,13,7
16,13,11
16,13,2
16,17,7
17,13,11
17,16,7
17,13,2
17,13,7
18,49,7
18,39,5
18,22,7
19,20,7
19,70,2
19,0,7
19,70,11
19,20,5
21,22,11
21,4,7
21,22,2
21,22,7
22,10,2
22,39,7
22,39,11
22,39,5
22,39,2
23,4,7
23,10,7
23,39,2
23,10,2
23,39,11
24,23,2
25,39,7
25,4,7
25,23,2
25,10,7
25,49,7
26,54,2
26,10,7
26,23,2
26,4,5
26,4,7
26,23,7
26,23,11
26,54,11
27,39,5
28,23,11
28,10,7
28,23,2
28,0,7
29,22,2
29,22,11
29,4,7
29,22,7
30,10,2
30,10,7
32,23,7
32,10,7
32,29,7
32,49,7
32,4,7
32,23,2
33,54,2
33,31,7
34,23,2
34,10,7
36,23,2
36,10,7
38,23,2
38,10,7
40,12,2
41,23,2
41,23,11
43,42,7
43,23,2
45,46,7
45,7,7
47,12,2
47,12,11
49,23,7
49,10,7
49,4,7
49,39,11
49,39,2
49,39,7
50,46,11
50,46,2
52,4,5
52,37,5
52,33,2
52,44,5
53,28,7
53,0,7
53,49,7
53,33,7
53,1,7
55,70,2
55,4,7
55,70,11
55,64,7
55,64,5
55,18,7
55,0,7
55,20,7
55,20,5
56,31,11
56,31,2
57,23,2
58,23,2
59,65,5
59,4,5
59,33,2
59,37,5
59,61,5
59,35,5
59,20,2
60,4,7
60,10,7
60,23,2
60,39,7
60,49,5
62,17,5
62,17,7
62,16,7
62,0,7
62,13,7
62,16,5
62,23,11
62,10,7
62,23,2
63,39,7
63,49,11
63,49,7
63,49,2
64,18,7
64,18,5
64,54,11
64,54,2
66,33,2
67,23,2
68,23,2
68,23,11
68,10,7
68,23,7
69,0,7
71,23,2
71,33,7
71,23,11
71,10,7
72,4,7
72,10,7
72,23,2
72,23,7
